Ordre de travail;Staut Ordre de travail;Equipment;Noeud Parent;Classification Equipement;Date début;Type OT
OT021078;clôturé;PAV00323;PAV003;MECANIQUE;2019-01-16;correctif planifié
OT021079;clôturé;PAV00300;PAV003;MECANIQUE;2019-01-16;correctif planifié
OT021083;clôturé;PFC102;PFC1;MECANIQUE;2019-01-31;correctif planifié
OT021085;clôturé;PFC107;PFC1;MECANIQUE;2019-01-31;correctif planifié
OT021086;clôturé;PFC103;PFC1;MECANIQUE;2019-01-31;correctif planifié
OT021089;clôturé;PFC102;PFC1;MECANIQUE;2019-01-31;correctif planifié
OT021091;en cours INV;ULPRPH030401;ULPRPH0304;MECANIQUE;2019-01-26;correctif non planifié
OT021092;en cours INV;ULPRPH0402;ULPRPH04;MECANIQUE;2019-01-31;correctif planifié
OT021094;en cours INV;ULPRPH0405;ULPRPH04;MECANIQUE;2019-01-29;correctif planifié
OT021095;en cours INV;ULPRPH0401;ULPRPH04;MECANIQUE;2019-01-29;correctif planifié
OT021096;en cours INV;ULPRPH0401;ULPRPH04;MECANIQUE;2019-01-29;correctif planifié
OT021217;en cours INV;ULPRPH0409;ULPRPH04;MECANIQUE;2019-02-01;correctif planifié
OT021409;en cours INV;ULPRPH0101;ULPRPH01;MECANIQUE;2019-01-30;correctif planifié
OT021550;clôturé;ULPRSR0102;ULPRSR01;MECANIQUE;2019-01-30;correctif planifié
OT021552;en cours INV;ULPRPH0309;ULPRPH03;MECANIQUE;2019-01-28;correctif planifié
OT021553;clôturé;ULPRPH0607;ULPRPH06;MECANIQUE;2019-01-29;correctif planifié
OT021571;en cours INV;ULUTEG0110;ULUTEG01;MECANIQUE;2019-01-04;correctif planifié
OT021579;en cours INV;ULPRPH0104;ULPRPH01;MECANIQUE;2019-01-31;correctif planifié
OT021580;en cours INV;ULPRPH0107;ULPRPH01;MECANIQUE;2019-01-30;correctif non planifié
OT021581;en cours INV;ULPRPH0205;ULPRPH02;MECANIQUE;2019-01-30;correctif non planifié
OT021582;en cours INV;ULPRPH0107;ULPRPH01;MECANIQUE;2019-01-31;correctif planifié
OT021677;en cours INV;ULPRPH0607;ULPRPH06;MECANIQUE;2019-02-01;correctif planifié
OT021678;en cours INV;ULPRPH0607;ULPRPH06;MECANIQUE;2019-02-01;correctif planifié
OT021679;clôturé;ULPRPH0607;ULPRPH06;MECANIQUE;2019-02-02;correctif planifié
OT021683;clôturé;PFC104;PFC1;MECANIQUE;2019-02-01;correctif planifié
OT021684;clôturé;PFC107;PFC1;MECANIQUE;2019-02-01;correctif planifié
OT021688;clôturé;PFC101;PFC1;MECANIQUE;2019-02-02;correctif planifié
OT021689;clôturé;PFC102;PFC1;MECANIQUE;2019-02-02;correctif planifié
OT021690;clôturé;PFC101;PFC1;MECANIQUE;2019-02-02;correctif planifié
